cart_id,user_id,cart_total,cart_discounted_total,cart_total_products,cart_total_quantity,product_id,product_title,product_price,product_quantity,product_total,first_name,last_name,customer_name,email,city,age,gender,order_date,total_amount
1,33,103774.85,89686.65,4,15,168,charger sxt rwd,32999.99,3,98999.97,Carter,Baker,Carter Baker,carter.baker@x.dummyjson.com,Denver,32,male,2025-11-23,98999.97
1,33,103774.85,89686.65,4,15,78,apple macbook pro 14 inch space grey,1999.99,2,3999.98,Carter,Baker,Carter Baker,carter.baker@x.dummyjson.com,Denver,32,male,2025-11-23,3999.98
1,33,103774.85,89686.65,4,15,183,green oval earring,24.99,5,124.94999999999999,Carter,Baker,Carter Baker,carter.baker@x.dummyjson.com,Denver,32,male,2025-11-23,124.94999999999999
1,33,103774.85,89686.65,4,15,100,apple airpods,129.99,5,649.95,Carter,Baker,Carter Baker,carter.baker@x.dummyjson.com,Denver,32,male,2025-11-23,649.95
2,142,4794.8,4288.95,5,20,144,cricket helmet,44.99,4,179.96,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-22,179.96
2,142,4794.8,4288.95,5,20,124,iphone x,899.99,4,3599.96,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-22,3599.96
2,142,4794.8,4288.95,5,20,148,golf ball,9.99,4,39.96,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-22,39.96
2,142,4794.8,4288.95,5,20,122,iphone 6,299.99,3,899.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-22,899.97
2,142,4794.8,4288.95,5,20,110,selfie lamp with iphone,14.99,5,74.95,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-22,74.95
3,108,16775.87,14144.3,5,13,98,rolex submariner watch,13999.99,1,13999.99,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-21,13999.99
3,108,16775.87,14144.3,5,13,125,oppo a57,249.99,5,1249.95,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-21,1249.95
3,108,16775.87,14144.3,5,13,55,egg slicer,6.99,2,13.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-21,13.98
3,108,16775.87,14144.3,5,13,62,ice cube tray,5.99,2,11.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-21,11.98
3,108,16775.87,14144.3,5,13,132,samsung galaxy s8,499.99,3,1499.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-21,1499.97
4,87,456.83,443.23,4,17,187,golden shoes woman,49.99,5,249.95000000000002,Hunter,Gordon,Hunter Gordon,hunter.gordon@x.dummyjson.com,Charlotte,34,male,2025-11-20,249.95000000000002
4,87,456.83,443.23,4,17,40,strawberry,3.99,5,19.950000000000003,Hunter,Gordon,Hunter Gordon,hunter.gordon@x.dummyjson.com,Charlotte,34,male,2025-11-20,19.950000000000003
4,87,456.83,443.23,4,17,156,green and black glasses,34.99,5,174.95000000000002,Hunter,Gordon,Hunter Gordon,hunter.gordon@x.dummyjson.com,Charlotte,34,male,2025-11-20,174.95000000000002
4,87,456.83,443.23,4,17,62,ice cube tray,5.99,2,11.98,Hunter,Gordon,Hunter Gordon,hunter.gordon@x.dummyjson.com,Charlotte,34,male,2025-11-20,11.98
5,134,7431.3,6676.44,6,20,108,iphone 12 silicone case with magsafe plum,29.99,2,59.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-19,59.98
5,134,7431.3,6676.44,6,20,138,baseball ball,8.99,5,44.95,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-19,44.95
5,134,7431.3,6676.44,6,20,157,party glasses,19.99,2,39.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-19,39.98
5,134,7431.3,6676.44,6,20,8,dior j'adore,89.99,3,269.96999999999997,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-19,269.96999999999997
5,134,7431.3,6676.44,6,20,80,huawei matebook x pro,1399.99,5,6999.95,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-19,6999.95
5,134,7431.3,6676.44,6,20,28,ice cream,5.49,3,16.47,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-19,16.47
6,150,35199.86,31435.05,4,14,172,blue women's handbag,49.99,5,249.95000000000002,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-18,249.95000000000002
6,150,35199.86,31435.05,4,14,112,tv studio camera pedestal,499.99,3,1499.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-18,1499.97
6,150,35199.86,31435.05,4,14,97,rolex datejust,10999.99,3,32999.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-18,32999.97
6,150,35199.86,31435.05,4,14,128,realme c35,149.99,3,449.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2025-11-18,449.97
7,86,145651.89,128504.41,3,11,167,300 touring,28999.99,5,144999.95,Nora,Mills,Nora Mills,nora.mills@x.dummyjson.com,San Jose,27,female,2025-11-17,144999.95
